web-scraper-order,web-scraper-start-url,bintang,ulasan,lebel
1626443234-313,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-398,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Tampilannya bikin ga betah. Fiturnya masih kurang lengkap. Dan masih banyak kekurangannya.,NEGATIF
1626443234-266,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-379,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya telah membeli paket tetapi buku tidak dapat di download, mohon pencerahannya",NEGATIF
1626443234-390,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Apl nya tidak bisa dibuka .,NEGATIF
1626443234-411,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Sangat Menyebalkan... biasa transaksi dg Gopay.. utk beli ebook di Gramedia Digital.. e... koq sekarang malah dihapus sih.. pembayaran via Gopay... Mau pindah ke Link aja.. duh dapat kode verifkasi nya SUSAH AMAT... dah di ulang 3x tetep aja ga bs... SANGAT MEMYEBALKAN...,NEGATIF
1626443234-278,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-298,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-226,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-384,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Download bukunya ko lama banget ya? Padahal udah pake wifi :(,NEGATIF
1626443234-381,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Koleksi bukunya kurang lengkap terus susah nyari bukunya, ribet nyari kata kuncinya",NEGATIF
1626443234-395,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Hallo, Team Gramedia Digital, Saya sudah berlangganan Non-fiction premium package, tapi kenapa , masih suruh membeli ya, untuk membaca yang ada di list package tersebut?, awal mula berlangganan saya bisa baca semua yg ada di list package tersebut, Tetapi sekarang lebih diarahkan untuk membeli full p...Ulasan Lengkap",NEGATIF
1626443234-289,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-336,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"hai gramedia yang paling kucintai, semoga kalian membaca ini ya 😘. Saya tadi sedang beli paket premium pake saldo google play, pas sudah membeli paket tersebut tiba-tiba ada bacaan muncul ""Payment Invalid"". Nah MASALAHNYA NIH, SALDO GOOGLE PLAY SAYA LUDES, ITU SALDO SAYA KEMANA DAN PAKETNYA GAK TER...Ulasan Lengkap",NEGATIF
1626443234-223,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-295,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-360,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"bagus bgt, tapi mau saran supaya bisa dikasih stabilo atau fitur coretan, atau tambahkan add note supaya lebih hafal lagi.",NETRAL
1626443234-293,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-312,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-344,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya ingin bertanya baru saja saya berlangganan , namun ketika mau liat"" Koleksi buku selalu membal ke utama itu kenapa ya",NEGATIF
1626443234-300,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-393,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Bagus aplikasinya.. tapi sayang harga ebook nya sama dengan harga buku cetak, seharusnya bisa lebih murah karena paper less :"")",NEGATIF
1626443234-430,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Sistem pembayaran kacau. 2 kali subs, keduanya kacau. Bulan lalu tanggal 2 april transfer lewat dana, diurus tanggal 6 dan tanggal 8 april baru aktif. Sekarang tanggal 4 mei 2020 belum 1 bulan udah habis subs premiumnya. Mau melapor juga malas, dari yang sudah-sudah slow respon minta ampun. Take dow...Ulasan Lengkap",NEGATIF
1626443234-323,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-317,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-305,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-410,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Alangkah lebih baik kalau bisa fitur mode gelap (dark mode) soalnya mata perih kalau lama² lihat sinar putih.,NETRAL
1626443234-424,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Koleksi buku novel mohon di perlengkap..penulis2 terkenal banyak yg gak ada di sini..jadi kami yg jauh dari indonesia susah mendapatkan buku2nya..harapan satu2nya yaa via app seperti ini..tp saya searching di app ini gak ada penulis2 dan novel yg saya cari..padahal buku nya sangat familiar dan terke...Ulasan Lengkap,NEGATIF
1626443234-208,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-446,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"saya pengguna dari 2016. aplikasi ini sangat membantu pekerjaan saya yg bekerja di media monitoring berita. Namun ketika ada kebijakan disabled screenshot, pekerjaan saya menjadi terhambat karna tidak bisa memenuhi permintaan client untuk monitoring berita secara epaper based. mohon di pertimbangkan...Ulasan Lengkap",NEGATIF
1626443234-391,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Saya membeli salah satu buku dari Aplikasi ini tetapi bukunya tetap tidak bisa saya akses dan tidak masuk dalam riwayat transaksi saya. Saya sudah melapor tapi tetap tidak ada jawaban dari pihak Gramedia Digital. Sangat tidak profesional.,NEGATIF
1626443234-260,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-435,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya pernah beli buku biografi steve jobs dulu sekali, ketika masa2 awal Scoop. Sekarang buku tersebut sudah tidak muncul lagi ketika di ""search"". Sedangkan di cloud juga pasti ada diurutan paling bawah. Bagaimana caranya saya mencari pembelian saya yg dulu.",NEGATIF
1626443234-301,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-250,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-369,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Tampilan halaman utk buku yg baru update sangat tidak nyaman untuk membaca lama. Beda dgn buku buku yg di telah lama di update. Tolong kembalikan ke versi sebelumnya,NEGATIF
1626443234-337,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Aplikasi ini bagus banget jujur >_< aplikasi ini memudahkan kita, para pembaca yang lebih suka membaca di hp daripada di novel. Rekomen banget pake aplikasi ini😊 segala macam fitur yang ada di aplikasi ini mudah untuk digunakan oleh semua kalangan umur👍 Akses masuk ke dalam aplikasi juga mudah ban...Ulasan Lengkap",POSITIF
1626443234-315,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-252,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-425,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Saya sudah lama berlangganan akun Premium Gramedia Online. Tapi akhir-akhir ini saya kecewa karena susah sekali bahkan hanya untuk mengunduh koran Kompas. Seringkali muncul tombol BELI (padahal sudah berlangganan) atau ada tombol UNDUH namun tidak bisa diunduh. Sudah sering saya me-refresh aplikasin...Ulasan Lengkap,NEGATIF
1626443234-296,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-332,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Terima kasih.. Jangan naikan harganya jangan ubah ketentuannya.. Di sini saya bisa memuaskan hasrat saya untuk baca buku dengan harga murah.. Terimakasih banyak,POSITIF
1626443234-359,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,sangat membantu,POSITIF
1626443234-264,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-209,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-272,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-216,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-309,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-221,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-376,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Kok sekarang gk bisa di buka katanya gk bisa ke hubung sama server, tapi connection nya dilain bisa tuh, tapi sebelum nya bisa.",NEGATIF
1626443234-345,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Untuk list buku yang bisa di baca premium bisa lebih banyak lagi, sama yang mau baca lewat PC agar di sediakan versi webnya",NETRAL
1626443234-441,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Pikir saya artikelnya bisa di copas, atau dapet file pdfnya, ternyata tidak. Kita udah beli mahal mahal gak bisa di copy texnya. Bahkan sekedar screenshoot pun tidak bisa...😒 Yg kita dapat hanya membaca doang. itupun harus menggunakan aplikasi ini. Ketika buka artikel juga lemot. Saran saya bagi yg...Ulasan Lengkap",NEGATIF
1626443234-210,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-259,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-254,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-418,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"fitur2 ebooknya dilengkapi lg agar pembaca tetap bisa mendapatkan pengalaman yg sama seperti membaca buku cetak. Terutama highlighter dan notes. Tambahin itu aja dulu deh serius. Lebih bagus lagi kalo highlight dan notes bisa disinkronkan dg cloud tertentu. Yg lain2: edit profil, wishlisht, night mo...Ulasan Lengkap",POSITIF
1626443234-364,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"PLEASE ADD NIGHT MODE ( DARK THEME ) Overall ,Koleksi bukunya bagus namun ada beberapa saran & kritik lain yang saya harap setidaknya dipertimbangkan developer terkait kenyamanan untuk pembacaan buku. Mohon lebih dioptimalkan dengan mode malam, efek ganti halaman, dll",NEGATIF
1626443234-240,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-438,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya sudah mengisi data diri dg teliti, tapi kenapa setelah registrasi berhasil, data diri yg ditampillan di profil adalah data diri yg tidak benar . Tgl lahir saya jadi 1 nov 1970. Saya ulangi lagi registrasi , tapi hasilnya sama. Ketika registrasi berhasil tgl lahir yg ditampilkan di profil saya a...Ulasan Lengkap",NEGATIF
1626443234-328,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Inilah solusi yang saya cari selama ini, berlangganan banyak buku perbulan tanpa harus beli, buat gramedia tolong dilengkapin lagi bukunya ya... Mantap surantaap buat teman teman yang punya masalah yang sama dengan saya jangan ragu lagi silahkan di donlot app ini...",POSITIF
1626443234-322,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-413,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya tahu anda tetaplah business monster yang dipikiran anda selalu uang,dengan menggunakan CC sebagai metode pembayaran anda ingin memaksa member anda membayar tiap bulan, padahal loyalitas tidak bisa dipaksakan, ini bukan USA bung! Kalau anda ingin tidak terdisrupsi maka "" Think Globally, Act loca...Ulasan Lengkap",NEGATIF
1626443234-408,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Sekarang pembayaran harus pake credit card. Ini menghambat banget buat pecinta buku seperti saya yg g punya credit card. Tolong dipertimbangkan lagi ya, paling g bsa bayar via transfer ATM deh. Karena g semua orang punya credit card.",NEGATIF
1626443234-311,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-333,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Syukurlah saran saya didengar:) ukuran hp itu umumnya 5inch jadi kalau baca buku format .pdf selembar tanpa di-zoom in/zoom out, bisa2 jereng tuh mata. makanya saya minta agar ada fitur reflow text, jadi formatnya tuh kayak baca .epub, ukuran hurufnya bisa kita sesuaikan senyamannya pembaca.",POSITIF
1626443234-349,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Saya kirim email komplain kenapa ga dibales bales ya..,NEGATIF
1626443234-236,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-361,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Kg bisa di pinjem + harus banyar,NEGATIF
1626443234-290,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-217,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-239,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-350,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Mohon infonya kenapa tidak bisa unduh apapun ya, padahal berhasil untuk berlangganan 😿😿",NEGATIF
1626443234-414,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Pembayaran lewat gopay gak bisa, jadi lebih sulit. Mana beli lewat google play ribet, mau lapor cs dulu baru d proses. Kembalikan pembayaran lewat gopay lagi, biar gak ribet kyk gini. Btw, kalau ad complain mending ke ig dripd email, lbh cepat d respon drpd email.",NEGATIF
1626443234-246,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-243,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-284,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-327,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Hai kak, digramedia digital bagus sekali fitur fiturnya. Tapi sepertinya akan lebih bagus lagi jika ada e-book novel. Saya sebagai reader novel pasti akan sangat suka dengan hal itu. Terimakasih",POSITIF
1626443234-348,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Ga bisa daftar, padahal mau beli paket premium nya lewat shopee... Uninstall aja jadinya",NEGATIF
1626443234-428,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Parah udh beli yg full premium, tapi hanya beberapa yg bisa di baca, seharusnya kalo full premium semuanya bisa di baca, tidak perlu bayar lg, dan akhir akhir ini aplikasi nya sering "" Tidak dapat terhubung ke server, silahkan cek koneksi anda"" Padahal sinyal bagus, pake wifi pula masa error dari se...Ulasan Lengkap",NEGATIF
1626443234-358,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Trimkasih kerja kerasnya..,POSITIF
1626443234-279,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-306,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-302,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-245,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-274,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-222,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-382,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Kok ga bisa dibuka ini aplikasinya,, hpku oppo reno 5 kok ga bisa buka aplikasi",NEGATIF
1626443234-426,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Sekarang kenapa ya klo berlangganan ga langsung aktif otomatis. Pdhl saldo sudah kepotong. Jadi nya sekarang tiap saya berlangganan, sya selalu krm email ke CS gramedia untuk minta di aktifkan premiumnya. Walau fast respon CS nya. Tp masa sih tiap mw di aktifin,sya hrs krm email ke CS trs.",NEGATIF
1626443234-212,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-394,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Aplikasi sudah bagus dan sangat bermanfaat bagi para penggemar pembaca buku (salah satunya Paketan-nya) Saran kedepannya, Tolong Gramedia membuat sebuah Ebook Reader (seperti Kindle) atau Ebook dapat disambungkan dengan Ebook Reader selain Kindle. Karena mata lumayan pedih jika membaca di layar Mobi...Ulasan Lengkap",POSITIF
1626443234-420,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Mungkin kalo memang meniru system subscription untuk ebook seperti Amazon, mending jiplak sekalian systemnya. Gak ada tag untuk bedain mana ebook premium subs, format pdfscan yang menyulitkan karena margin yg besar jadi harus zoom in zoom out. Tapi overall udah di jalan yg bener, tinggal di improve ...Ulasan Lengkap",NEGATIF
1626443234-437,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Langganan Pos Kota 1 Bln 59 Ribu. Dikirim 1 Hari Aja. Kata Nya 1 Bulan. Mahal Banget 1 Koran Pos Kota 59 Ribu. Tolong Penjelaaan Nya Ini Bagaimana ??? Edisi Tgl 9 sampai 12 May (4 Hari) sudah tidak Dikirim Ebook Poskota. Judul Nya Jadi 1 Edisi Bayar 59.000 Padahal Padahal Ditukang Koran 1 Edisi Hany...Ulasan Lengkap,NEGATIF
1626443234-253,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-387,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Tidak bisa membuat langganan dengan linkaja.macet,NEGATIF
1626443234-288,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-431,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya sudah melakukan pembayaran untuk non fiction premium package pada tanggal 12 November 2020 kemarin, namun hingga saat ini akun premium yang saya beli masih belum aktif dan saya masih tidak bisa mengakses buku-buku non fiksi, padahal saya sangat membutuhkannya segera. Ketidak otomatisan sistem i...Ulasan Lengkap",NEGATIF
1626443234-262,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-319,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-365,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Ini gmana to saya sudah beli bukunya dengan transfer dan sudah terima receipt tp ketika saya buka, blm bs dibaca dan masih tertulis harus beli. Ini kenapa? Kalau gak bs dibrli tolong kembalikan uang saya. Terimakasih",NEGATIF
1626443234-429,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Hubungin ke akun Facebook, eh jenis kelamin dipaksa Perempuan. Warna abu2. Seting TTL juga ribet sekali. Semakin tua orangnya mungkin semakin pegel geser tanggalnya. Setelah profil dikonfirmasi ternyata ga bisa diedit lagi. Sejauh ini ga ngaruh sih dengan pembelian. Cuma agak ga sreg aja profilnya g...Ulasan Lengkap",NEGATIF
1626443234-273,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-235,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-373,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Kasih fitur Highligt dong, biar bisa ngasih tanda kalimat2 pentingnya. Pengaturan pencahayaannya udah ada sih, tapi masih kurang redup, masih bikin mata cepat lelah.",NEGATIF
1626443234-277,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-229,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-248,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
